Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,,,,2024-02-13 22:09:53,2024-02-13 22:12:04,2m - 10.550s,FAILED
,,,,,,,
Test Cases/Checkout/TC - Search and Checkout,,,,2024-02-13 22:09:53,2024-02-13 22:10:51,58.056s,FAILED
"startApplication(""D:\BFLP\Bootcamp\Materi\Advantage+demo+3.2.apk"", true)",,,,2024-02-13 22:09:54,2024-02-13 22:10:12,18.324s,PASSED
"tap(findTestObject(""Object Repository/Profile/Register/ImageView.BurgerButton""), 10)",,,,2024-02-13 22:10:12,2024-02-13 22:10:13,0.892s,PASSED
"tap(findTestObject(""Object Repository/Profile/Register/LinearLayout.LoginButton""), 10)",,,,2024-02-13 22:10:13,2024-02-13 22:10:15,2.577s,PASSED
"tap(findTestObject(""Object Repository/Profile/Login/RelativeLayout.Username""), 10)",,,,2024-02-13 22:10:15,2024-02-13 22:10:17,1.364s,PASSED
"setText(findTestObject(""Object Repository/Profile/Login/EditText.Username""), ""AquaBotol1"", 10)",,,,2024-02-13 22:10:17,2024-02-13 22:10:19,2.457s,PASSED
"tap(findTestObject(""Object Repository/Profile/Login/RelativeLayout.Password""), 10)",,,,2024-02-13 22:10:19,2024-02-13 22:10:21,1.684s,PASSED
"setText(findTestObject(""Object Repository/Profile/Login/EditText.Password""), ""AquaBotol1"", 10)",,,,2024-02-13 22:10:21,2024-02-13 22:10:22,0.807s,PASSED
"tap(findTestObject(""Object Repository/Profile/Login/Button.LOGIN""), 10)",,,,2024-02-13 22:10:22,2024-02-13 22:10:23,0.813s,PASSED
"tap(findTestObject(""Object Repository/Profile/Register/ImageView.BurgerButton""), 10)",,,,2024-02-13 22:10:23,2024-02-13 22:10:26,3.942s,PASSED
"displayedUsername = getText(findTestObject(""Object Repository/Profile/Register/TextView.Username""), 10)",,,,2024-02-13 22:10:26,2024-02-13 22:10:28,1.140s,PASSED
