Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,,,,2024-02-13 22:13:35,2024-02-13 22:15:55,2m - 20.010s,FAILED
,,,,,,,
Test Cases/Checkout/TC - Search and Checkout,,,,2024-02-13 22:13:35,2024-02-13 22:14:50,1m - 14.641s,FAILED
"startApplication(""D:\BFLP\Bootcamp\Materi\Advantage+demo+3.2.apk"", true)",,,,2024-02-13 22:13:35,2024-02-13 22:13:52,17.126s,PASSED
"tap(findTestObject(""Object Repository/Profile/Register/ImageView.BurgerButton""), 10)",,,,2024-02-13 22:13:52,2024-02-13 22:13:53,0.870s,PASSED
"tap(findTestObject(""Object Repository/Profile/Register/LinearLayout.LoginButton""), 10)",,,,2024-02-13 22:13:53,2024-02-13 22:13:55,1.243s,PASSED
"tap(findTestObject(""Object Repository/Profile/Login/RelativeLayout.Username""), 10)",,,,2024-02-13 22:13:55,2024-02-13 22:13:57,2.389s,PASSED
"setText(findTestObject(""Object Repository/Profile/Login/EditText.Username""), ""AquaBotol1"", 10)",,,,2024-02-13 22:13:57,2024-02-13 22:13:58,1.169s,PASSED
"tap(findTestObject(""Object Repository/Profile/Login/RelativeLayout.Password""), 10)",,,,2024-02-13 22:13:58,2024-02-13 22:14:00,1.676s,PASSED
"setText(findTestObject(""Object Repository/Profile/Login/EditText.Password""), ""AquaBotol1"", 10)",,,,2024-02-13 22:14:00,2024-02-13 22:14:01,1.287s,PASSED
"tap(findTestObject(""Object Repository/Profile/Login/Button.LOGIN""), 10)",,,,2024-02-13 22:14:01,2024-02-13 22:14:02,0.775s,PASSED
"tap(findTestObject(""Object Repository/Profile/Register/ImageView.BurgerButton""), 10)",,,,2024-02-13 22:14:02,2024-02-13 22:14:07,5.580s,PASSED
"displayedUsername = getText(findTestObject(""Object Repository/Profile/Register/TextView.Username""), 10)",,,,2024-02-13 22:14:07,2024-02-13 22:14:08,1.020s,PASSED
"assert displayedUsername.equalsIgnoreCase(""AquaBotol1"")",,,,2024-02-13 22:14:08,2024-02-13 22:14:08,0.019s,PASSED
